OctEndoL0001,OctEndoL0007,OctEndoL0103,OctEndoL0106,OctEndoL0107,OctEndoL0108,OctEndoL0202,OctEndoL0206,OctEndoL0303,OctEndoL0308,OctEndoL0407,OctEndoL0808,OctEndoL1003,OctEpiL0007,OctEpiL0107,OctEpiL0207,OctEpiL0303,OctEpiL0306,OctEpiL0307,OctEpiL0308,OctEpiL0403,OctEpiL0503,OctEpiL0507,OctEpiL0508,OctEpiL0702,OctEpiL0703,OctEpiL0704,OctEpiL0707,OctEpiL0804,OctEpiL0807,OctEpiL0907,OctEpiL1007,OctParedeL0007,OctParedeL0008,OctParedeL0105,OctParedeL0107,OctParedeL0108,OctParedeL0201,OctParedeL0202,OctParedeL0203,OctParedeL0207,OctParedeL0208,OctParedeL0308,OctParedeL0604,OctParedeL0608,OctParedeL1007,TotalEndoSpharmL00,TotalEndoSpharmL06,TotalEndoSpharmL08,TotalEpiSpharmL00,TotalEpiSpharmL06,TotalParedeSpharmL00,TotalParedeSpharmL04,TARGET
2449.8314299852914,-165.38617827358973,-6947.6527838273605,2826.002323344997,-4130.442642774558,-34295.48402655402,-42451.74345929317,-131367.62297328125,-3530.583656087265,8819.2868272951,3814.345353504471,2879600.7030497924,19594.136629307457,-951.9367857808336,-4641.606210664256,8409.167564774301,-4688.322606315659,40336.50421502575,-3361.578048703629,10140.790468233752,4189.829094637016,574.9147077236237,-4392.508476780377,45724.43757267919,2868.228313869941,8312.796068837615,-118843.7018391217,618.9877765740946,-346343.69302876154,-1199.3615967522385,-5437.50783776642,-2922.229137022472,-974.4391985115504,2339.7007330988363,51408.9904310638,-7855.275813565126,-67667.00997389625,-223615.57211796605,-47863.78691688894,3764.897656285343,14800.23493666022,159553.48265086667,13294.60114496858,-50163.68142445687,948437.1102234869,-30101.650827218305,8932.250483698166,64458.85339419094,41499.11504153063,12398.629056345813,30462.626978576627,17511.461138375264,5352.235769229955,0
6136.792963200272,465.9951342872271,-11787.625003339292,-18534.377051550946,-3739.060526370674,-48710.651909745065,7458.109355968325,-53696.315822242635,26285.563175411124,4592.689808629422,-5818.2953961553,-640113.1133808139,4178548.082592903,561.0365340903337,-5876.2791967481335,366.7698242011862,-1734.735954709422,-111229.19446957883,-10912.48038030631,5135.504465477275,62138.902390489726,-18783.6021853778,32555.79537574556,246175.63084697785,3452.895528202005,215645.3683496072,-266145.3805829512,7965.033101885454,83841.72590033812,-13735.309665860625,-253256.39121330905,61316.599756721436,1001.7121181752733,5896.064576317864,-85695.75685376795,-12935.085936253465,-104336.5934255449,-118788.17541593206,8442.326330288506,3990.8574556426597,-3141.805796377096,25393.723065009795,9349.004580418272,-42948.06234013541,307755.9149987964,5212804.7456903,20977.280369314652,72159.16648587085,-562255.2544313802,26935.397511488507,104388.64591156476,44031.590786566405,26828.462662802824,0
4149.683549498507,-211.04557108173702,-6118.941739898868,2749.222618922578,-4913.800413360157,-40942.07281433717,-2168.995797615988,-51445.790834291336,-3249.7092466098607,4311.810762200537,8783.715158432284,872624.8432495969,18889.21782707812,-1098.4511901722658,-2941.5441410504686,5624.560600507522,-4852.194975905734,22357.60751321837,-8333.532795071644,4112.950063272225,1934.4303982084768,3150.2892529734722,8492.134781968047,16294.440069859693,28820.56275268346,353.62344433658984,-76600.14969482577,-8024.814387591646,7107.860363599539,-7443.9193178191545,7410.788169622527,6484.7529233069845,-1014.473805144814,32.05198200215178,38190.34752299763,-6920.9650679568,-70660.05078677059,23593.042059632466,-11713.168122199888,-1288.0019535573806,9945.890440277724,106266.13967464183,6831.367003736064,-21635.41853538356,455495.4779588682,5931.516799028992,10639.293010493868,89275.32371391867,19420.199697389016,13339.020753040271,2901.121527455264,20115.98633238621,20266.281804685106,0
3360.0737141685213,-1125.9960728426508,-12068.874401779312,-12327.297351987476,-12761.938364728447,-47675.2994757946,-1030.741302981148,32393.681197572314,-15615.341398026267,-16981.28795515596,41577.30066848993,41985.95041912879,41405.0847748695,-2586.382639064437,-13820.12293548789,-950.2313723070278,-35631.98311895476,40631.40771149397,-2507.5276254762,-17890.632561657396,29392.101611246035,5384.378463529344,5351.433753154706,19576.356788211266,155.23443673515425,46887.742458431414,-13071.908308292332,-74545.60571582719,147444.12811110934,634643.2751619277,-2592662.971788726,316107.85050140595,-3323.942589778665,-3314.38353300027,-700.0501305773123,-26132.082272690386,-102817.89415835124,-182790.3511341881,-189.30905819870486,-1391.0852375765467,10964.547620269435,75595.06102852339,-25854.452220322135,-25370.23019039373,354246.1998908447,-164274.14280218078,2895.031273402655,548313.5752545022,-64018.336943030896,3970.54139452567,188841.56396880152,6250.198421565843,214524.40134521172,0
2085.694155180994,-845.9857279706263,-4472.272011863661,-2220.542061400613,-3598.6914163766896,-21161.844235318084,-411.32640843053457,4027.073160284164,-5928.686288102042,-1207.6664617187762,3475.6045812013926,-3103.9081338401343,6204.094862443117,-1912.4463488917909,-6071.819233487085,-1897.808633003328,-11024.597391736712,22979.72053694308,-6618.590033055173,-3632.152393614085,-243.58180287806897,-2611.2639662366273,2973.5043105266413,30261.451868479733,19360.577757461186,-122.18870245438565,-7635.46275436032,-12174.396756468856,-3556.753228678834,-7317.727930782647,240.5398315166249,6796.4521735151075,-2292.6057235832363,137.0817880041344,6016.030753109889,-9313.196128871667,-37383.63997009268,-34571.067918355686,2400.903677702613,4260.7374774965865,-1408.544116675361,28255.98249249522,-5360.735067253293,-11546.716945265991,70379.44014257603,9373.027179332415,4709.661946555048,4169.163713947484,41322.68421726227,5801.459421763074,3617.810885397673,8535.147393078754,37015.91640373882,0
3221.3836890483253,-33.38607910584253,-13607.649629049398,33007.509448778816,-2843.089395977758,-21059.86258208172,-17090.243137765734,-111128.59476942236,-15348.446052132793,147858.07483122128,-10712.247278935902,39594072.63095316,-21913181.33379068,-514.704997704508,-5536.0426214365025,-36903.34654743511,1896.159288345112,248971.77679917857,-4074.6254861864136,145345.92715120484,29901.119916821342,-11279.926969051943,76773.42196426247,-17376.60513793141,86606114.17673379,124180.87617938744,-202279.8059302006,81948.09040496423,-87474.53126251776,-7043743.424816447,22252136.07593706,-16073546.599029435,-489.62830724707015,906.4513995512424,205752.39387879183,-8304.240089883107,-42141.7731256735,-49960.62159326321,-8651.204843480005,-7211.026035370766,-39880.639352453756,158046.25044845187,217802.3155424241,-37402.73985225256,1513521.096080751,36019835.559419304,9467.732291687713,988578.7271949193,30177348.13893443,11533.875191143596,1102038.0415878834,17359.356518923243,-746170.1854917277,0
6396.4598985069015,502.9539471689672,-11637.370280117308,-20501.81333556943,-13564.77147840446,-41376.552117908046,-3010.982176372109,135685.97006564727,-15647.147056770857,2355.999914727759,14807.315029809453,109649.7415696106,-77494.00843353076,-7.143811463436147,-21932.791790294435,684.7159362156518,-17218.81215321924,8051.1709103075345,-5040.96456982899,682.913454312383,19804.762939946264,-541.1092121551349,1339.0338826629752,50936.46913367374,-2958.8869358785664,108330.54442191956,-9090.83625263364,5096.008024318411,-3299.84568127936,69804.58745497065,141952.3197271325,15534.84722447556,451.12618903041016,3065.411118093005,-93798.52272930306,-31401.626140636763,-73283.21598704894,-63966.83597988432,-58.43954707704774,9857.795024936726,746.1143236607165,4857.2491342114645,526.1701081469304,-82022.29315941074,9002.118733647292,167645.42256581018,19143.075024298832,-175519.26887955188,271091.0360216191,23859.144877370683,1562.1406763034354,39150.21445928603,125704.90441742205,0
3781.7479609986767,-18.712611556372746,-2491.444771875885,995.7127123918359,-3306.7243760948177,-18664.586685666964,-289.4529214375955,-26151.078409329286,-81.38314274776845,-2340.560954691265,5227.4332121660245,39251.27370379373,5595.621873304817,-405.95977576115166,-5893.432708459779,246.5743097170631,-493.9854785120533,-198.28000712932567,-5425.253699346021,-1298.3006628977682,2690.845330939321,765.0371899548359,813.3939561664763,28745.071125626426,1355.0429085032592,49859.53018351625,-14410.167268039491,-23870.6234067795,9098.775649135152,-11475.925290604808,-3122.5843749828505,65341.83464197013,-344.9618502476858,1015.390547801578,-17868.705150245554,-8433.165886204471,-37840.7278094789,-105908.82855776887,123.48083830287334,-848.3636642161027,47.323155206363964,19779.028195346364,-2505.916922946104,-20813.43593610833,52567.503853156624,26338.23973791007,9843.013760917933,86638.21331961648,-182409.36635606465,12260.204894374305,-7544.933334272172,17913.930591990586,13070.435685366067,0
2872.403831677741,-741.5085206884106,-6986.545344609309,-5447.6085328256795,-7289.427323054232,-20912.003302173885,-121.25706051185976,1297.9914986628467,-14346.619526831597,-129.6383400427199,-789.0995625261571,47304.980104296046,119489.28259002489,-1847.5291105446854,-5834.5499354411795,-5072.028289500871,-13012.620684815982,9606.850422286498,-22930.140841122982,-9010.607272647923,209.61287905811787,-3153.5685404603414,-1656.1781000396802,1800.967455677855,2869.927161724169,-4119.441730228871,42154.16951140061,-46502.07729843613,-13274.04015684956,6094.019030102417,35330.48740499625,36880.51039460438,-2361.7389517045904,-1917.151994676502,-16706.446012532473,-12255.011257599026,-50021.31863800259,-68673.5519937693,363.7886671002508,-2625.0681012034242,-6534.862557443539,13259.620437794716,-9818.185453677923,-7518.4338163407165,46962.44891558693,190839.3601595708,2701.103604216571,11680.375670428091,123401.13301550613,3712.5704852550402,4077.367096727927,5346.585411261224,92953.19394814117,0
5183.5651260000295,609.5486557647748,-5970.246444366433,21932.171347950207,-2385.8258074294463,-40225.33703770069,1526.9930780873467,-42201.47658911585,3143.2438102048827,690.8864881170911,545.2641952880861,-428655.93435266544,1100341.998614217,506.2701789672067,-3608.122302085219,135.72601652040558,475.4942154382183,-1093.4818824701351,-4865.140115943984,790.3588277338272,5320.37705595645,3454.669652692777,1078.5184473578504,120209.52892258215,50.61634015285038,120654.79076821293,-323394.87444840174,-2261.159513016213,529401.5637168884,14803.43765583857,-6914.173650995137,3829.775178770225,1024.6484411912932,5134.621413573024,-126753.11356484088,-6928.274703464305,-73636.16860580651,57297.188832518565,7654.59161273638,-3643.970978334584,126.43890305103584,-55973.014218249766,-70.36233310169962,19318.2342091945,-82971.76947183078,3770.178389177093,18890.74138053908,41759.7480703298,-46254.340824194864,22804.84557738434,23525.626669174435,33639.0265324154,49527.001605886086,0
